filename,depth_gt_mm,depth_rs_mm,T_mm,H_mm,W_mm,mass,thickness_px,height_px,thickness_mm_est,height_mm_est,
book_20260427_112404.png,395,396.0000277,19.8,235,156,563,49,539,21.31446367,235.0042965,90.85952034
book_20260427_112444.png,395,396.0000277,10.7,227,160,307,29,517,12.61468258,225.4122844,91.66390489
book_20260427_112533.png,398,399.0000188,24.5,246,188,1204,57,556,24.98221173,244.2527875,91.65294926
book_20260427_112707.png,398,399.0000188,24.6,251,178,915,59,558,25.85878056,245.1313946,91.41872842
book_20260427_112916.png,395,396.0000277,22.9,240.5,181,755,52,551,22.61943084,240.2363031,90.94037612
book_20260427_112952.png,398,399.0000188,19.5,235,158,508,45,531,19.72279873,233.2701981,90.95013646
book_20260427_113423.png,367,368.0000305,25.6,270,204,1169,65,663,26.27509677,268.6291909,0.313029891
book_20260427_113813.png,397,398.0000317,20.5,227,151,555,51,517,22.29648464,226.5507325,3.640675243
book_20260427_113852.png,398,398.0000317,25,241,160,667,61,551,26.66834437,241.4496201,88.60897984
book_20260427_113932.png,396,397.0000148,20.5,235,157,552,50,542,21.80437488,236.9090386,3.893419563
